,name,menu,address,zzim,rating
19378,죽변항,"해물포차, 꽃새우, 전골",서울특별시 영등포구 당산동3가 150-2,62,51점
19379,이도,"한우, 소고기, 고기집",서울특별시 영등포구 여의도동 13-11,59,51점
19380,육영토종한우,"한우, 정육식당, 육회비빔밥",서울특별시 영등포구 당산동4가 32-111,45,51점
19381,월화고기,"삼겹살, 김치말이국수",서울특별시 영등포구 문래동3가 55-5,21,51점
19382,로꼬로꼬,"조개찜, 닭한마리, 칼국수",서울특별시 영등포구 영등포동3가 4-12,68,51점
19383,서글렁탕,"냉동삼겹살, 삼겹살",서울시 영등포구 여의도동 53 1F (우정상가 1층),53,51점
19384,용호낙지,"낙곱새, 낙새, 막걸리",서울특별시 영등포구 여의도동 25,32,51점
19385,가루,"명태식해, 막국수, 메밀국수",서울특별시 영등포구 당산동3가 396-10,37,51점
19386,더함한우골,"티본스테이크, 한우, 고기집",서울특별시 영등포구 당산동3가 457,56,51점
19387,오복순대국,"아바이순대, 순대국, 순대국수",서울특별시 영등포구 문래동4가 6-5,35,51점
19388,평가옥,"어복쟁반, 평양냉면, 냉면",서울특별시 영등포구 여의도동 44-35,30,51점
19389,교동전선생,"모듬전, 막걸리",서울특별시 영등포구 여의도동 26,14,51점
19390,신길동,"매운짬뽕, 짬뽕, 김밥",서울특별시 영등포구 신길동 48-20,62,50점
19391,덕원식당,"꼬리곰탕, 곰탕",서울특별시 영등포구 영등포동2가 94-28,37,50점
19392,우리삼겹,"미나리, 삼겹살, 고기집",서울특별시 영등포구 당산동3가 163,24,50점
19393,그믐족발,"튀김족발, 보쌈, 족발",서울특별시 영등포구 문래동2가 48-6,14,50점
19394,곳간,"한정식, 레스토랑, 한식뷔페",서울특별시 영등포구 여의도동 28-1 전경련회관 50층,40,50점
19395,영원식당,"수제비, 감자전, 백반",서울특별시 영등포구 여의도동 21-3,65,50점
19396,순천집,"새조개, 샤브샤브, 생선구이",서울시 영등포구 여의도동 43-1,22,50점
19397,능이버섯백숙,"능이버섯백숙, 능이버섯, 닭도리탕",서울특별시 영등포구 문래동4가 9-2,19,49점
19398,강창구찹쌀진순대,"순대국밥, 뼈해장국",서울특별시 영등포구 영등포동8가 32-24,8,49점
19399,세광양대창,"대창, 막창, 곱창전골",서울시 영등포구 여의도동 44-22,5,48점
19400,호박집,"호박, 찹쌀순대, 국밥",서울특별시 영등포구 영등포동5가 2,29,48점
19401,계절밥상,"한식뷔페, 뷔페",서울특별시 영등포구 여의도동 23,69,48점
19402,대원,"노바다야끼, 생선구이, 백반",서울시 영등포구 여의도동 36-4 2F (오륜빌딩 2층),22,47점
19403,남도분식,"떡볶이, 상추튀김, 김밥",서울시 영등포구 영등포동4가 442 타임스퀘어,4,47점
19404,육갑식당,"고기집, 소고기, 삼겹살",서울특별시 영등포구 당산동6가 326-3,22,46점
19405,서여사네,"어죽칼국수, 어죽, 닭볶음탕",서울특별시 영등포구 문래동2가 14-47,28,46점
19406,수뿌레,"닭갈비, 숯불닭갈비",서울특별시 영등포구 영등포동3가 7-30,42,46점
19407,삼해집,"굴보쌈, 보쌈",서울특별시 영등포구 영등포동3가 3-16,61,46점
19408,오마니국수,"국수, 비빔국수",서울특별시 영등포구 영등포동7가 103,11,46점
19409,민소,"한우전문, 한우, 고기집",서울특별시 영등포구 여의도동 14-34,20,45점
19410,돈꼬불,"돼지꼬리, 고깃집, 꼬마김밥",서울특별시 영등포구 문래동3가 58-2,8,45점
19411,돈푸대,"뒷고기, 돼지고기, 고기집",서울특별시 영등포구 영등포동8가 42-1,3,44점
19412,경천애인2237,"소고기, 한우, 동치미국수",서울특별시 영등포구 여의도동 45-1,10,44점
19413,아리수만찬,"불고기, 갈비찜, 닭도리탕",서울특별시 영등포구 양화동 32-1,5,44점
19414,궁중삼계탕,"들깨삼계탕, 삼계탕",서울특별시 영등포구 영등포동6가 48-2,7,43점
19415,왕가네칼국수,"칼국수, 바지락칼국수",서울특별시 영등포구 영등포동8가 10,6,43점
19416,인기명,"조개찜, 갈비찜, 소갈비찜",서울특별시 영등포구 양평동4가 80,28,42점
19417,본가,"우삼겹, 숯불우삼겹, 고기집",서울특별시 영등포구 문래동3가 55-5,6,42점
19418,대추나무칼국수,"칼국수, 비빔칼국수",서울특별시 영등포구 문래동4가 8-35,9,42점
19419,용범이네,"껍데기, 고기집, 물냉면",서울특별시 영등포구 영등포동3가 14-5 지상 1층,6,42점
19420,일미집,"감자탕, 뼈해장국",서울특별시 영등포구 영등포동6가 1-15,8,41점
19421,봉평막국수메밀,"메밀, 막국수, 들깨수제비",서울특별시 영등포구 신길동 4532-1,7,41점
19422,윤달오리전문점,"오리고기, 해신탕, 닭도리탕",서울특별시 영등포구 영등포동6가 95-7,12,41점
19423,청담동마녀김밥,"김밥, 분식, 멸치김밥",서울특별시 영등포구 여의도동 44-32,2,41점
19424,홍중샤브샤브,"훠궈, 샤브샤브, 생선구이",서울특별시 영등포구 대림2동 1050-30,20,41점
19425,호수삼계탕,"들깨삼계탕, 삼계탕",서울특별시 영등포구 신길5동 300-325,43,41점
19426,흥부부대찌개,"부대찌개, 밥집, 전골",서울특별시 영등포구 당산동3가 133,6,40점
19427,장사랑,"바싹불고기, 들깨수제비, 곰탕",서울특별시 영등포구 영등포동4가 442,40,40점
19428,파전닭갈비,"파전, 녹두전, 닭갈비",서울시 영등포구 신길6동 2824,16,40점
19429,본토박이,"쌈밥, 제육쌈밥",서울특별시 영등포구 여의도동 35-2,33,40점
19430,목포식당,"병어조림, 갈치조림, 김치찌개",서울특별시 영등포구 영등포동6가 15-6,2,39점
19431,송죽장,"고추짬뽕, 중국집, 중식",서울특별시 영등포구 영등포동4가 55,319,74점
19432,서궁,"오향장육, 탕수육, 중국요리",서울특별시 영등포구 여의도동 43-3 홍우빌딩 1층,249,68점
19433,대문점,"오향장육, 군만두, 중식",서울특별시 영등포구 영등포동3가 15-4,233,62점
19434,강남,"중국집, 간짜장, 중국요리",서울특별시 영등포구 당산동5가 42,90,62점
19435,대관원,"간짜장, 중국집, 중식당",서울특별시 영등포구 당산동4가 49 2층,79,60점
19436,딘타이펑,"샤오롱바오, 딤섬, 중식당",서울특별시 영등포구 영등포동4가 442 타임스퀘어 4층,132,60점
19437,화룽마라룽샤,"마라롱샤, 롱샤, 중국요리",서울특별시 영등포구 대림동 717,34,54점
19438,초마,"하얀짬뽕, 짬뽕, 중식",서울특별시 영등포구 영등포동4가 434-5 신세계백화점 9층,33,54점
19439,봉선마라탕,"마라탕, 꿔바로우, 중국요리",서울특별시 영등포구 대림동 1057-68,33,54점
19440,니뽕내뽕,"퓨전짬뽕, 짬뽕, 중식당",서울특별시 영등포구 영등포동4가 441-10,62,51점
19441,신길동,"매운짬뽕, 짬뽕, 중식당",서울특별시 영등포구 신길동 48-20,62,50점
19442,신동양반점,"채식, 비건, 중국요리",서울시 영등포구 여의도동 35-5 5F (여의도종합상가 5층),23,50점
19443,경회루,"짜장, 중식당, 중화요리",서울특별시 영등포구 문래동3가 70,2,43점
19444,동성양꼬치,"양꼬치, 꿔바로우, 중식당",서울특별시 영등포구 영등포동3가 7-25,4,42점
19445,하오하오,"중국집, 짬뽕, 중국요리",서울특별시 영등포구 영등포동7가 2,4,41점
19446,훠궈야,"훠궈, 샤브샤브, 중식당",서울특별시 영등포구 여의도동 23 IFC몰 L3 312호,6,41점
19447,하이디라오,"훠궈, 마라탕, 중식당",서울특별시 영등포구 영등포동1가 143-3,1,39점
19448,샹하오,"어향동고, 중식당, 중식",서울특별시 영등포구 여의도동 13-3,6,39점
19449,이사효,"짬뽕, 만두, 중식당",서울특별시 영등포구 영등포동7가 70-12,3,37점
19450,리춘시장,"멘보샤, 중식포차, 중국요리",서울시 영등포구 영등포동3가 9-22,3,35점
19451,차알,"짜장면, 중식당, 중국요리",서울특별시 영등포구 여의도동 23 IFC몰 지하 3층,1,35점
19452,도화원,"해물짬뽕, 중국집, 중국요리",서울특별시 영등포구 영등포동4가 151-19,24,34점
19453,리샨,"중식당, 군만두, 중국요리",서울시 영등포구 여의도동 17,6,33점
19454,즉석우동짜장,"즉석우동, 짜장, 중식당",서울특별시 영등포구 신길동 4216,19,33점
19455,도미라,"마라탕, 마라샹궈, 중식당",서울특별시 영등포구 양평동4가 74-1 2층,1,32점
19456,백리향,"중식당, 레스토랑",서울 영등포구 여의도동 60 한화금융센터_63 57층,17,32점
19457,와룡각,"중식, 중국요리, 중식당",서울특별시 영등포구 양평동1가 2-1,1,32점
19458,청원,"중국집, 탕수육, 중국요리",서울특별시 영등포구 당산동 171-18,5,31점
19459,동북양꼬치,"양꼬치, 중국음식점",서울특별시 영등포구 대림동 1068-2,0,28점
19460,차이홍,"탕수육, 중국집, 중식당",서울특별시 영등포구 여의도동 35-5,2,28점
19461,올드문래,"수제맥주, 카페",서울특별시 영등포구 문래동2가 14-28,143,78점
19462,세상의모든아침,"브런치, 레스토랑, 브런치카페",서울특별시 영등포구 여의도동 28-1 전경련회관 50층,568,74점
19463,오월의종,"무화과빵, 카페, 베이커리카페",서울특별시 영등포구 영등포동4가 442,101,66점
19464,카페마마스,"리코타치즈샐러드, 카페, 브런치카페",서울특별시 영등포구 영등포동4가 442 타임스퀘어 4층,129,64점
19465,라크라센타,"브런치카페, 카페",서울특별시 영등포구 문래동3가 77-51,73,62점
19466,엘카페,"cafe, 로스터리카페",서울특별시 영등포구 양평동5가 2-1,28,60점
19467,커피기업,"비엔나커피, 커피, 카페",서울시 영등포구 여의도동 13-25 정우빌딩 1층 13호,26,57점
19468,뚜스뚜스,"베이커리카페, 카페",서울특별시 영등포구 양평동5가 62-3,19,56점
19469,호텔707,"루프탑, 카페",서울특별시 영등포구 문래동2가 60-4,23,56점
19470,마호가니커피,"크로와상, 카페, 카페라떼",서울특별시 영등포구 영등포동4가 442 타임스퀘어 3층,4,52점
19471,러스트,"베이커리, 카페, 베이커리카페",서울특별시 영등포구 문래동2가 42-19,14,52점
19472,선유기지,"카페, 당근케이크, 혼카페",서울특별시 영등포구 양평동4가 153-4,33,52점
19473,보사노바,"루프탑, 카페, 카페라떼",서울특별시 영등포구 문래동3가 82-13,27,51점
19474,백미당,"아이스크림, 소프트아이스크림, 카페",서울특별시 영등포구 영등포동4가 442 지하1층,28,47점
19475,카페,"비엔나커피, 카페, 카페라떼",서울특별시 영등포구 당산동1가 258,3,43점
19476,아파트먼트,"핸드드립, 카페, 카페라떼",서울특별시 영등포구 문래동2가 40-2,5,43점
19477,카페,"커피, 카페, cafe",서울특별시 영등포구 문래동2가 43-5,4,43점
19478,오헨,"빵집, 크로와상, 카페",서울시 영등포구 여의도동 36 롯데캐슬 엠파이어 빌딩,8,42점
19479,기글,"카페, 카페라떼, 디저트카페",서울특별시 영등포구 문래동3가 58-2,3,42점
19480,팥이재,"팥빙수, 빙수, 카페",서울특별시 영등포구 여의도동 45-15,22,41점
19481,카페,"브런치, 카페, 브런치카페",서울특별시 영등포구 문래동2가 34-10,5,41점
19482,플라츠,"와인바, 와인, 카페",서울특별시 영등포구 문래동2가 14-38,11,40점
19483,비닐하우스,"와인바, 펍, 카페",서울특별시 영등포구 문래동3가 54-39,42,40점
19484,코코빈스,"빙수, 카페, 카페라떼",서울특별시 영등포구 당산동 173-34,4,39점
19485,카페,"리코타치즈샐러드, 카페, 브런치카페",서울시 영등포구 여의도동 14-21 1F (LG 애클라트 1층),41,39점
19486,10G,"아이스바, 카페, 브런치카페",서울특별시 영등포구 여의도동 23-1,23,38점
19487,카페드람브르,"브런치카페, 카페",서울특별시 영등포구 영등포동3가 12-1,18,38점
19488,롤링핀,"빵집, 카페, 베이커리카페",서울특별시 영등포구 여의도동 45-3,1,38점
19489,아티제,"케익, 카페, 베이커리카페",서울특별시 영등포구 여의도동 36 롯데캐슬엠파이어 1층 1-101호,2,38점
19490,쓰리버즈,"브런치카페, 카페",서울특별시 영등포구 여의도동 23,27,37점
19491,올드문래,"수제맥주, 카페, 맥주",서울특별시 영등포구 문래동2가 14-28,143,78점
19492,이조보쌈,"굴보쌈, 보쌈, 소주",서울특별시 영등포구 당산동6가 295,183,69점
19493,바스버거,"수제버거, 어니언링, 펍",서울특별시 영등포구 여의도동 24-1,76,61점
19494,계림원,"통닭구이, 누룽지, 치맥",서울특별시 영등포구 문래동3가 2,141,61점
19495,양키통닭,"시금치통닭, 맥주, 수박맥주",서울특별시 영등포구 문래동2가 49-1,33,60점
19496,버티고,"루프탑바, 주말브런치, 맥주",서울특별시 영등포구 여의도동 23-1 콘래드 1,87,56점
19497,호텔707,"루프탑, 카페, 맥주",서울특별시 영등포구 문래동2가 60-4,23,56점
19498,웨이브스,"하와이안, 펍, 다이닝펍",서울특별시 영등포구 문래동3가 58-34,20,55점
19499,더핸드,"이자카야, 사시미, 술집",서울특별시 영등포구 당산동1가 449,36,55점
19500,야마야,"모츠나베, 이자카야, 아사히생맥주",서울특별시 영등포구 여의도동 23-3,61,55점
19501,갓포쿠,"일식, 이자카야",서울특별시 영등포구 여의도동 25-11,48,53점
19502,마피아피자,"피맥, 피자, 맥주집",서울특별시 영등포구 영등포동3가 21,36,52점
19503,참새방앗간,"꼬막, 실내포차, 술집",서울특별시 영등포구 당산동6가 281,54,52점
19504,죽변항,"해물포차, 꽃새우, 포차",서울특별시 영등포구 당산동3가 150-2,62,51점
19505,교동전선생,"모듬전, 막걸리, 술집",서울특별시 영등포구 여의도동 26,14,51점
19506,반샤쿠,"이자카야, 생새우, 술집",서울특별시 영등포구 영등포동3가 19-2,76,50점
19507,동경식당,"일식, 스시, 이자카야",서울특별시 영등포구 여의도동 28-3,24,49점
19508,원조마늘통닭,"마늘통닭, 통닭, 치맥",서울시 영등포구 문래동4가 7-4,59,49점
19509,다희,"칵테일바, 칵테일, 술집",서울특별시 영등포구 여의도동 44-15,7,48점
19510,삼부리,"덮밥, 쭈삼, 소주",서울특별시 영등포구 문래동3가 58-11,29,47점
19511,롱타임노씨,"피맥, 피자, 맥주",서울특별시 영등포구 당산동5가 32-5,4,47점
19512,대원,"노바다야끼, 생선구이, 이자카야",서울시 영등포구 여의도동 36-4 2F (오륜빌딩 2층),22,47점
19513,생활맥주,"수제맥주, 치맥",서울특별시 영등포구 여의도동 54-2,46,46점
19514,브롱스,"수제맥주, 피맥",서울특별시 영등포구 영등포동3가 15-1,18,45점
19515,아리수만찬,"불고기, 치맥, 펍",서울특별시 영등포구 양화동 32-1,5,44점
19516,오징어마을,"오징어, 오징어회, 술집",서울특별시 영등포구 영등포동3가 11-13,15,42점
19517,채윤희,"닭구이, 술집",서울특별시 영등포구 문래동3가 58-84,28,41점
19518,하오하오,"중국집, 짬뽕, 소주",서울특별시 영등포구 영등포동7가 2,4,41점
19519,비어포스트,"bar, 맥주집, 맥주",서울특별시 영등포구 문래동2가 14-29,3,40점
19520,플라츠,"와인바, 와인, 술집",서울특별시 영등포구 문래동2가 14-38,11,40점
19521,비닐하우스,"와인바, 펍, 맥주",서울특별시 영등포구 문래동3가 54-39,42,40점
19522,파전닭갈비,"파전, 녹두전, 막걸리",서울시 영등포구 신길6동 2824,16,40점
19523,오늘,"와인, 와인바, 생맥주",서울특별시 영등포구 문래동2가 14-25,9,40점
19524,한잔차차,"와인, 와인바, 술집",서울특별시 영등포구 문래동3가 58-97,37,40점
19525,서민준밀밭,"콩국수, 들깨수제비, 소주",서울특별시 영등포구 영등포동6가 66-7,18,39점
19526,문래문화살롱,"술집, 수제맥주",서울특별시 영등포구 문래동2가 14-13,8,39점
19527,만가옥,"한식레스토랑, 불고기, 막걸리",서울특별시 영등포구 여의도동 30-3,26,38점
19528,도미노피자,"피자, 피맥",서울특별시 영등포구 문래동3가 96,0,38점
19529,쓰리버즈,"브런치카페, 카페, pub",서울특별시 영등포구 여의도동 23,27,37점
19530,스몰,"포차, 술집, 이자카야",서울특별시 영등포구 문래동2가 34-11 문래 스몰,3,37점
19531,코지마,"야키도리, 이자카야",서울특별시 영등포구 여의도동 54-2,6,36점
19532,메르카토와이,"씨푸드, 펍, 맥주",서울특별시 영등포구 여의도동 25-11,14,36점
19533,곱창팩토리,"곱창, 곱창모듬, 막걸리",서울특별시 영등포구 영등포동3가 7-25,40,36점
19534,데블스도어,"맥주, 술집, 치맥",서울시 영등포구 여의도동 23 IFC몰 L3,4,36점
19535,전주전집,"전집, 막걸리, 술집",서울특별시 영등포구 영등포동3가 4-7,36,35점
19536,도쿄라보,"일본가정식, 이자카야",서울특별시 영등포구 문래동3가 58-60,9,35점
19537,리춘시장,"멘보샤, 중식포차, 술집",서울시 영등포구 영등포동3가 9-22,3,35점
19538,탭퍼블릭,"수제맥주, 맥주, 맥주집",서울특별시 영등포구 여의도동 23-6 오투타워2층,3,35점
19539,오뎅정종,"오뎅바, 오뎅, 술집",서울특별시 영등포구 영등포동3가 12-12,5,35점
19540,도동집,"벤또, 술집, 선술집",서울특별시 영등포구 신길6동 4377-1,13,34점
19541,당산살롱,"술집, 소주칵테일, 펍",서울특별시 영등포구 당산동5가 22-1,4,34점
19542,율도,"갈치탕, 이자카야",서울시 영등포구 여의도동 35-2,7,34점
