,station,name,ribbonType,menu,priceRange
31,김포공항,딘타이펑(롯데몰김포공항점),NOT,"덤플링(4천원~1만4천원), 면류(7천5백원~1만2천원), 볶음밥(7천원~1만3천5백원), 매운소스새우고기훈툰(8천8백원), 샤오롱바오(9천원), 유린기(1만6천원), 새우냉채(소 1만8천원, 중 2만6천원), 칠리새우(1만8천5백원, 2만7천원)",2~4만원대
32,김포공항,리틀사이공(김포공항점),NOT,"에피타이저(6천원~8천5백원), 월남쌈(대 4만원, 중 3만5천원), 간가징늑맘(대 2만4천원, 중 1만5천원), 라이스&누들(8천5백원~1만2천5백원), 음료(3천원~6천원)",2~4만원대
33,김포공항,이성당과자점,ATTENTION,"앙버터모나카(2천5백원), 도리과자(1천7백원~2천5백원) ",1만원 미만
34,서울역,일비노로소,RIBBON_TWO,"런치코스(5만원, 6만원), 디너코스(8만원, 10만원, 13만원), 스테이크(5만4천원~6만5천원), 파스타(2만5천원~6만8천원)",4~10만원대
35,서울역,품서울,RIBBON_TWO,"점심코스(11만5천5백원), 저녁코스(11만5천5백원, 17만3천2백5십원, 23만1천원)",10~20만원대
36,서울역,N그릴,RIBBON_ONE,"디너코스(12만원~17만5천원), 주말런치코스(6만원~9만원), 주말디너코스(11만원~13만5천원), 커플코스(35만원)",10~20만원대
37,서울역,금산제면소,RIBBON_ONE,탄탄멘(1만2천원),1~2만원대
38,서울역,목멱산방,RIBBON_ONE,"산방비빔밥(7천5백원), 불고기비빔밥(1만원), 육회비빔밥(1만3천원), 해산물부추전, 도토리묵채소무침(각 8천원), 연자육(1만2천원), 식혜(2천원)",1만원 미만
39,서울역,양평민물매운탕,RIBBON_ONE,"빠가사리매운탕(소 3만5천원, 중 4만원, 대 4만5천원, 특대 5만5천원), 메기매운탕, 잡어매운탕(각 소 2만5천원, 중 3만원, 대 3만5천원, 특대 4만5천원), 빙어튀김(1만2천원)",1~2만원대
40,서울역,은성집,RIBBON_ONE,"한우사골부대찌개, 살라미, 볼로니, 햄, 베이컨, 소시지(각 9천원), 한우안심스테이크(3만6천원), 모둠구이(중 5만2천원, 대 6만5천원)",1만원 미만
41,서울역,일미장어,RIBBON_ONE,"장어구이정식(3만2천원), 장어덮밥(1만6천원)",2~4만원대
